point_id,capture_mode,timestamp_fp_ms,timestamp_unity_ms,timestamp_diff_ms,raw_fp_x,raw_fp_y,raw_fp_z,raw_fp_qx,raw_fp_qy,raw_fp_qz,raw_fp_qw,raw_unity_x,raw_unity_y,raw_unity_z,raw_unity_qx,raw_unity_qy,raw_unity_qz,raw_unity_qw,used_fp_x,used_fp_y,used_fp_z,used_fp_qx,used_fp_qy,used_fp_qz,used_fp_qw,used_unity_x,used_unity_y,used_unity_z,used_unity_qx,used_unity_qy,used_unity_qz,used_unity_qw
156,continuous_interpolated,1.75563E+12,1.75563E+12,66,0.16653614196878527,-0.09188669,0.5648089899469714,-0.494617181,-0.271236699,-0.478589458,0.6728570632873064,-0.5860905,0.6464928,0.177163586,0.320605,-0.08947563,-0.069044545,0.940446436,-0.166536137,-0.564808965,-0.091886692,0.4785894453525543,-0.494617194,0.6728570461273193,0.27123668789863586,-0.588703394,0.6519594788551331,0.18448933959007263,0.31678250432014465,-0.090994917,-0.077772543,0.940914512
157,continuous_interpolated,1.75563E+12,1.75563E+12,11,0.16563279368626613,-0.103104286,0.5701608100169692,-0.49999393,-0.27170372,-0.481530429,0.6665670293441097,-0.584437847,0.642468333,0.171582848,0.32101956,-0.08966902,-0.06673774,0.9404531,-0.165632799,-0.570160806,-0.103104286,0.48153042793273926,-0.49999392,0.6665670275688171,0.27170372009277344,-0.58461374,0.6441158652305603,0.1742478907108307,0.3233571946620941,-0.086469866,-0.071390875,0.9396097660064697
158,continuous_interpolated,1.75563E+12,1.75563E+12,45,0.16563279368626613,-0.103104286,0.5701608100169692,-0.49999393,-0.27170372,-0.481530429,0.6665670293441097,-0.58289665,0.639867663,0.169348389,0.3255391,-0.088864885,-0.063797146,0.939179,-0.165632799,-0.570160806,-0.103104286,0.48153042793273926,-0.49999392,0.6665670275688171,0.27170372009277344,-0.58461374,0.6441158652305603,0.1742478907108307,0.3233571946620941,-0.086469866,-0.071390875,0.9396097660064697
159,continuous_interpolated,1.75563E+12,1.75563E+12,72,0.16563279368626613,-0.103104286,0.5701608100169692,-0.49999393,-0.27170372,-0.481530429,0.6665670293441097,-0.58209914,0.6389873,0.168419927,0.326352745,-0.08818033,-0.062407516,0.939054549,-0.165632799,-0.570160806,-0.103104286,0.48153042793273926,-0.49999392,0.6665670275688171,0.27170372009277344,-0.58461374,0.6441158652305603,0.1742478907108307,0.3233571946620941,-0.086469866,-0.071390875,0.9396097660064697
160,continuous_interpolated,1.75563E+12,1.75563E+12,19,0.16681026860179313,-0.113330745,0.5766710143398582,-0.480814702,-0.266040136,-0.496751025,0.6717724966949625,-0.5789123,0.637851059,0.16375576,0.32484746,-0.08793759,-0.06665512,0.939307332,-0.166810274,-0.576671004,-0.113330744,0.49675101041793823,-0.480814695,0.6717724800109863,0.2660401463508606,-0.580628455,0.638149083,0.16642656922340393,0.3265913426876068,-0.087679207,-0.062922165,0.938984215
161,continuous_interpolated,1.75563E+12,1.75563E+12,92,0.16681026860179313,-0.113330745,0.5766710143398582,-0.480814702,-0.266040136,-0.496751025,0.6717724966949625,-0.5779644,0.638028145,0.159550637,0.32248044,-0.087174594,-0.059095755,0.9406991,-0.166810274,-0.576671004,-0.113330744,0.49675101041793823,-0.480814695,0.6717724800109863,0.2660401463508606,-0.580628455,0.638149083,0.16642656922340393,0.3265913426876068,-0.087679207,-0.062922165,0.938984215
162,continuous_interpolated,1.75563E+12,1.75563E+12,32,0.16733302404375294,-0.120424395,0.5894759041247064,-0.463668936,-0.258105199,-0.507864942,0.678576469,-0.577540159,0.6374233,0.15731968,0.32263875,-0.087418206,-0.05925064,0.940612435,-0.167333022,-0.58947593,-0.120424397,0.5078649520874023,-0.463668942,0.6785764694213867,0.25810518860816956,-0.577460885,0.6372658610343933,0.15801721811294556,0.3221074640750885,-0.087103985,-0.063133866,0.9405709505081177
163,continuous_interpolated,1.75563E+12,1.75563E+12,23,0.16733302404375294,-0.120424395,0.5894759041247064,-0.463668936,-0.258105199,-0.507864942,0.678576469,-0.5773365,0.6371879,0.1562132,0.320351869,-0.08855656,-0.05921743,0.941289365,-0.167333022,-0.58947593,-0.120424397,0.5078649520874023,-0.463668942,0.6785764694213867,0.25810518860816956,-0.577460885,0.6372658610343933,0.15801721811294556,0.3221074640750885,-0.087103985,-0.063133866,0.9405709505081177
164,continuous_interpolated,1.75563E+12,1.75563E+12,79,0.16733302404375294,-0.120424395,0.5894759041247064,-0.463668936,-0.258105199,-0.507864942,0.678576469,-0.577043533,0.636756539,0.155415356,0.321381152,-0.08833447,-0.057504885,0.9410656,-0.167333022,-0.58947593,-0.120424397,0.5078649520874023,-0.463668942,0.6785764694213867,0.25810518860816956,-0.577460885,0.6372658610343933,0.15801721811294556,0.3221074640750885,-0.087103985,-0.063133866,0.9405709505081177
165,continuous_interpolated,1.75563E+12,1.75563E+12,64,0.16591275631757885,-0.124607794,0.5997214392031313,-0.485955995,-0.268056898,-0.501701274,0.663542088,-0.576450646,0.6360779,0.154906422,0.322494924,-0.08800921,-0.057414107,0.940720558,-0.165912762,-0.599721432,-0.124607794,0.501701295,-0.485955983,0.6635420918464661,0.2680568993091583,-0.576450646,0.636077881,0.15490642189979553,0.3224949240684509,-0.088009208,-0.057414107,0.9407205581665039
