arrangement,method,mean_position_error,mean_angular_error,combined_error,max_position_error,max_angular_error,order,signs
"[qy,qx,qw,qz]_signs-,+,-,-",Random Forest,0.0038578734401592887,1.9626954617493733,0.2001274196150966,0.018035968639293503,13.030022294116726,"[1, 0, 3, 2]","[-1, 1, -1, -1]"
"[qy,qx,qw,qz]_signs-,+,-,+",Linear Transform,0.020581519873897242,87.54832525811547,8.775414045685444,0.0782562721203944,152.76631694556576,"[1, 0, 3, 2]","[-1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs-,+,-,+",Rigid Body,0.021069135446185345,86.4444388407418,8.665513019520365,0.09149870701352138,152.14104170182918,"[1, 0, 3, 2]","[-1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs-,+,-,+",Random Forest,0.0038678591227359616,1.9648091285476479,0.20034877197750076,0.01801734997270366,13.038564802208993,"[1, 0, 3, 2]","[-1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs-,+,+,-",Linear Transform,0.020581519873897242,99.36963561532984,9.95754508140688,0.0782562721203944,164.80077716078125,"[1, 0, 3, 2]","[-1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs-,+,+,-",Rigid Body,0.021069135446185345,100.09273837778228,10.030342973224414,0.09149870701352138,165.71009754055,"[1, 0, 3, 2]","[-1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs-,+,+,-",Random Forest,0.00385677847185918,1.9672956039131329,0.20058633886317245,0.017867832455060934,13.495853439049377,"[1, 0, 3, 2]","[-1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs-,+,+,+",Linear Transform,0.020581519873897242,105.51224009629578,10.571805529503475,0.0782562721203944,179.35219379133292,"[1, 0, 3, 2]","[-1, 1, 1, 1]"
"[qy,qx,qw,qz]_signs-,+,+,+",Rigid Body,0.021069135446185345,105.06620172432363,10.527689307878548,0.09149870701352138,179.51517045020967,"[1, 0, 3, 2]","[-1, 1, 1, 1]"
"[qy,qx,qw,qz]_signs-,+,+,+",Random Forest,0.0038687631739961876,1.965879832387715,0.20045674641276767,0.018112780206489643,13.595666269302662,"[1, 0, 3, 2]","[-1, 1, 1, 1]"
"[qy,qx,qw,qz]_signs+,-,-,-",Linear Transform,0.020581519873897242,105.51224009629578,10.571805529503475,0.0782562721203944,179.35219379133292,"[1, 0, 3, 2]","[1, -1, -1, -1]"
"[qy,qx,qw,qz]_signs+,-,-,-",Rigid Body,0.021069135446185345,105.06620172432363,10.527689307878548,0.09149870701352138,179.51517045020967,"[1, 0, 3, 2]","[1, -1, -1, -1]"
"[qy,qx,qw,qz]_signs+,-,-,-",Random Forest,0.003875942329756862,1.9618055964771302,0.20005650197746988,0.01787122134789903,13.127186292610297,"[1, 0, 3, 2]","[1, -1, -1, -1]"
"[qy,qx,qw,qz]_signs+,-,-,+",Linear Transform,0.020581519873897242,99.36963561532984,9.95754508140688,0.0782562721203944,164.80077716078125,"[1, 0, 3, 2]","[1, -1, -1, 1]"
"[qy,qx,qw,qz]_signs+,-,-,+",Rigid Body,0.021069135446185345,100.09273837778228,10.030342973224414,0.09149870701352138,165.71009754055,"[1, 0, 3, 2]","[1, -1, -1, 1]"
"[qy,qx,qw,qz]_signs+,-,-,+",Random Forest,0.0038575481912978176,1.9633272156398422,0.20019026975528206,0.017715321033798873,13.134652651199612,"[1, 0, 3, 2]","[1, -1, -1, 1]"
"[qy,qx,qw,qz]_signs+,-,+,-",Linear Transform,0.020581519873897242,87.54832525811547,8.775414045685444,0.0782562721203944,152.76631694556576,"[1, 0, 3, 2]","[1, -1, 1, -1]"
"[qy,qx,qw,qz]_signs+,-,+,-",Rigid Body,0.021069135446185345,86.4444388407418,8.665513019520365,0.09149870701352138,152.14104170182918,"[1, 0, 3, 2]","[1, -1, 1, -1]"
"[qy,qx,qw,qz]_signs+,-,+,-",Random Forest,0.003868998464927908,1.9606336297548987,0.1999323614404178,0.01797169570027845,13.479763927172485,"[1, 0, 3, 2]","[1, -1, 1, -1]"
"[qy,qx,qw,qz]_signs+,-,+,+",Linear Transform,0.020581519873897242,114.82516780187899,11.503098300061797,0.0782562721203944,179.59734543816725,"[1, 0, 3, 2]","[1, -1, 1, 1]"
"[qy,qx,qw,qz]_signs+,-,+,+",Rigid Body,0.021069135446185345,115.67856173083496,11.588925308529682,0.09149870701352138,178.81610590632997,"[1, 0, 3, 2]","[1, -1, 1, 1]"
"[qy,qx,qw,qz]_signs+,-,+,+",Random Forest,0.0038761750198703297,1.9689287851987483,0.20076905353974517,0.018151797397161724,13.059633974264374,"[1, 0, 3, 2]","[1, -1, 1, 1]"
"[qy,qx,qw,qz]_signs+,+,-,-",Linear Transform,0.020581519873897242,86.3393206031005,8.654513580183947,0.0782562721203944,179.91823335047232,"[1, 0, 3, 2]","[1, 1, -1, -1]"
"[qy,qx,qw,qz]_signs+,+,-,-",Rigid Body,0.021069135446185345,86.93315378400769,8.714384513846953,0.09149870701352138,179.57392853404082,"[1, 0, 3, 2]","[1, 1, -1, -1]"
"[qy,qx,qw,qz]_signs+,+,-,-",Random Forest,0.003862915336521934,1.9682429135905262,0.20068720669557458,0.018076571769087207,13.041193102208888,"[1, 0, 3, 2]","[1, 1, -1, -1]"
"[qy,qx,qw,qz]_signs+,+,-,+",Linear Transform,0.020581519873897242,112.52887483605404,11.273469003479303,0.0782562721203944,157.31514991632437,"[1, 0, 3, 2]","[1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs+,+,-,+",Rigid Body,0.021069135446185345,112.12618396783937,11.233687532230123,0.09149870701352138,158.77352388744316,"[1, 0, 3, 2]","[1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs+,+,-,+",Random Forest,0.003822623334911384,1.9673136725526443,0.2005539905901758,0.018108129614764604,12.832494451809994,"[1, 0, 3, 2]","[1, 1, -1, 1]"
"[qy,qx,qw,qz]_signs+,+,+,-",Linear Transform,0.020581519873897242,70.1603624452792,7.036617764401819,0.0782562721203944,178.94357485921722,"[1, 0, 3, 2]","[1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs+,+,+,-",Rigid Body,0.021069135446185345,70.34537622674726,7.055606758120912,0.09149870701352138,179.7231676822792,"[1, 0, 3, 2]","[1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs+,+,+,-",Random Forest,0.003845034447470149,1.9628468304877944,0.20012971749624958,0.017883070305138464,13.237134484475748,"[1, 0, 3, 2]","[1, 1, 1, -1]"
"[qy,qx,qw,qz]_signs+,+,+,+",Linear Transform,0.020581519873897242,130.59253751044162,13.079835270918059,0.0782562721203944,179.92006429352273,"[1, 0, 3, 2]","[1, 1, 1, 1]"
"[qy,qx,qw,qz]_signs+,+,+,+",Rigid Body,0.021069135446185345,130.40929720468498,13.061998855914682,0.09149870701352138,179.6470502091281,"[1, 0, 3, 2]","[1, 1, 1, 1]"
"[qy,qx,qw,qz]_signs+,+,+,+",Random Forest,0.0038643970805499815,1.963781092633448,0.2002425063438948,0.018078964575510753,12.945026359741847,"[1, 0, 3, 2]","[1, 1, 1, 1]"
"[qy,qz,qx,qw]_signs-,-,-,-",Linear Transform,0.020581519873897242,160.31000909591285,16.05158242946518,0.0782562721203944,179.94551600158388,"[1, 2, 0, 3]","[-1, -1, -1, -1]"
"[qy,qz,qx,qw]_signs-,-,-,-",Rigid Body,0.021069135446185345,159.90232965988957,16.011302101435145,0.09149870701352138,179.80474506902328,"[1, 2, 0, 3]","[-1, -1, -1, -1]"
"[qy,qz,qx,qw]_signs-,-,-,-",Random Forest,0.003897640596495593,1.9634601005247918,0.20024365064897479,0.017684285419852015,13.461407702291897,"[1, 2, 0, 3]","[-1, -1, -1, -1]"
"[qy,qz,qx,qw]_signs-,-,-,+",Linear Transform,0.020581519873897242,128.66360340892058,12.886941860765955,0.0782562721203944,179.0225436043861,"[1, 2, 0, 3]","[-1, -1, -1, 1]"
"[qy,qz,qx,qw]_signs-,-,-,+",Rigid Body,0.021069135446185345,129.08006047015652,12.929075182461839,0.09149870701352138,178.17854736693383,"[1, 2, 0, 3]","[-1, -1, -1, 1]"
"[qy,qz,qx,qw]_signs-,-,-,+",Random Forest,0.00386803816959802,1.972347986364879,0.20110283680608593,0.017717172820744254,13.244955802633164,"[1, 2, 0, 3]","[-1, -1, -1, 1]"
"[qy,qz,qx,qw]_signs-,-,+,-",Linear Transform,0.020581519873897242,150.64426588852595,15.085008108726493,0.0782562721203944,179.59634044632796,"[1, 2, 0, 3]","[-1, -1, 1, -1]"
"[qy,qz,qx,qw]_signs-,-,+,-",Rigid Body,0.021069135446185345,149.87589933286264,15.00865906873245,0.09149870701352138,179.91905000268682,"[1, 2, 0, 3]","[-1, -1, 1, -1]"
"[qy,qz,qx,qw]_signs-,-,+,-",Random Forest,0.003896099208104754,1.9668429946476018,0.20058039867286492,0.01750320432595178,13.282221838323077,"[1, 2, 0, 3]","[-1, -1, 1, -1]"
"[qy,qz,qx,qw]_signs-,-,+,+",Linear Transform,0.020581519873897242,139.38932541913076,13.959514061786972,0.0782562721203944,178.75256161257812,"[1, 2, 0, 3]","[-1, -1, 1, 1]"
"[qy,qz,qx,qw]_signs-,-,+,+",Rigid Body,0.021069135446185345,140.04230304022164,14.02529943946835,0.09149870701352138,179.12291912460395,"[1, 2, 0, 3]","[-1, -1, 1, 1]"
