point_id,capture_mode,timestamp_fp_ms,timestamp_unity_ms,timestamp_diff_ms,raw_fp_x,raw_fp_y,raw_fp_z,raw_fp_qx,raw_fp_qy,raw_fp_qz,raw_fp_qw,raw_unity_x,raw_unity_y,raw_unity_z,raw_unity_qx,raw_unity_qy,raw_unity_qz,raw_unity_qw,used_fp_x,used_fp_y,used_fp_z,used_fp_qx,used_fp_qy,used_fp_qz,used_fp_qw,used_unity_x,used_unity_y,used_unity_z,used_unity_qx,used_unity_qy,used_unity_qz,used_unity_qw
589,continuous_interpolated,1755630000000.0,1755630000000.0,90,-0.028631477,-0.060721296,0.4137237325156885,0.8189490776903242,0.4678663942999972,0.1011841077871263,-0.316520492,-0.4293453,0.7798473,0.34321627,0.246661067,-0.042538647,-0.4213572,0.871669054,0.0286314766854047,-0.413723737,-0.060721297,-0.101184107,0.8189491033554077,-0.316520482,-0.467866391,-0.42934531,0.7798473238945007,0.3432162702083587,0.2466610670089721,-0.042538647,-0.421357214,0.8716690540313721
590,continuous_interpolated,1755630000000.0,1755630000000.0,22,-0.028631477,-0.060721296,0.4137237325156885,0.8189490776903242,0.4678663942999972,0.1011841077871263,-0.316520492,-0.430829763,0.781045735,0.342068285,0.239808619,-0.022366164,-0.358677447,0.901854753,0.0286314766854047,-0.413723737,-0.060721297,-0.101184107,0.8189491033554077,-0.316520482,-0.467866391,-0.42934531,0.7798473238945007,0.3432162702083587,0.2466610670089721,-0.042538647,-0.421357214,0.8716690540313721
591,continuous_interpolated,1755630000000.0,1755630000000.0,93,-0.029764488,-0.065022443,0.4117345220108244,0.7517986300314894,0.4636047586504425,0.1627288796650824,-0.439759888,-0.4318157,0.7820726,0.341778,0.232185841,-0.00887683,-0.314401716,0.9204143,0.0297644883394241,-0.411734521,-0.065022446,-0.162728876,0.7517986297607422,-0.43975988,-0.463604748,-0.431815714,0.7820726037025452,0.3417780101299286,0.2321858406066894,-0.00887683,-0.314401716,0.9204143285751344
592,continuous_interpolated,1755630000000.0,1755630000000.0,38,-0.029764488,-0.065022443,0.4117345220108244,0.7517986300314894,0.4636047586504425,0.1627288796650824,-0.439759888,-0.4315676,0.7818812,0.341861755,0.229252636,0.000293493,-0.2865829,0.9302223,0.0297644883394241,-0.411734521,-0.065022446,-0.162728876,0.7517986297607422,-0.43975988,-0.463604748,-0.431815714,0.7820726037025452,0.3417780101299286,0.2321858406066894,-0.00887683,-0.314401716,0.9204143285751344
593,continuous_interpolated,1755630000000.0,1755630000000.0,74,-0.029764488,-0.065022443,0.4117345220108244,0.7517986300314894,0.4636047586504425,0.1627288796650824,-0.439759888,-0.430841923,0.7802705,0.3425072,0.228903309,0.019372137,-0.234008044,0.9447054,0.0297644883394241,-0.411734521,-0.065022446,-0.162728876,0.7517986297607422,-0.43975988,-0.463604748,-0.431815714,0.7820726037025452,0.3417780101299286,0.2321858406066894,-0.00887683,-0.314401716,0.9204143285751344
594,continuous_interpolated,1755630000000.0,1755630000000.0,26,-0.029528467,-0.065449665,0.4148280727646017,0.6827638141115558,0.4509597290115295,0.2083068235489511,-0.535795823,-0.431620777,0.778025448,0.343566656,0.234609038,0.03893888,-0.179240674,0.9546283,0.029528467,-0.414828062,-0.065449663,-0.208306819,0.6827638149261475,-0.535795808,-0.450959742,-0.431463063,0.7793827652931213,0.3430693745613098,0.2294859886169433,0.0270983576774597,-0.207326725,0.9505879878997804
595,continuous_interpolated,1755630000000.0,1755630000000.0,57,-0.029528467,-0.065449665,0.4148280727646017,0.6827638141115558,0.4509597290115295,0.2083068235489511,-0.535795823,-0.43298623,0.7771578,0.344119281,0.239051014,0.0547645,-0.14411974,0.958689153,0.029528467,-0.414828062,-0.065449663,-0.208306819,0.6827638149261475,-0.535795808,-0.450959742,-0.431463063,0.7793827652931213,0.3430693745613098,0.2294859886169433,0.0270983576774597,-0.207326725,0.9505879878997804
596,continuous_interpolated,1755630000000.0,1755630000000.0,46,-0.027592647,-0.066942522,0.4152675662586111,-0.607730356,-0.422507712,-0.263030875,0.6188423116174933,-0.4337211,0.7753726,0.344550967,0.2444219,0.06855506,-0.108471669,0.96114105,0.0275926459580659,-0.415267557,-0.06694252,0.2630308866500854,-0.607730329,0.6188423037528992,0.4225077033042907,-0.433479846,0.7766653299331665,0.3441911041736603,0.2394424229860305,0.0565715134143829,-0.134068519,0.9599440693855286
597,continuous_interpolated,1755630000000.0,1755630000000.0,66,-0.027592647,-0.066942522,0.4152675662586111,-0.607730356,-0.422507712,-0.263030875,0.6188423116174933,-0.433852136,0.7742265,0.344132066,0.248172522,0.08534983,-0.065028675,0.962754965,0.0275926459580659,-0.415267557,-0.06694252,0.2630308866500854,-0.607730329,0.6188423037528992,0.4225077033042907,-0.433479846,0.7766653299331665,0.3441911041736603,0.2394424229860305,0.0565715134143829,-0.134068519,0.9599440693855286
598,continuous_interpolated,1755630000000.0,1755630000000.0,40,-0.029125151,-0.064951175,0.4172331891884427,-0.537898045,-0.39282223,-0.318422528,0.6745098086667994,-0.434935629,0.772514641,0.344514638,0.251003057,0.08989826,-0.03513241,0.963162243,0.02912515,-0.417233199,-0.064951174,0.3184225261211395,-0.537898064,0.6745098233222961,0.3928222358226776,-0.434019387,0.7730028033256531,0.344276488,0.2490168064832687,0.087952673,-0.046236284,0.963388442993164
